"","date","county","fips","hosptot_mean","hosptot_CI95l","hosptot_CI95u","icutot_mean","icutot_CI95l","icutot_CI95u","cummort_mean","cummort_CI95l","cummort_CI95u"
"814","2020-07-01","Marin County",6041,19.7089969321619,18.7842204869922,20.5389987885697,8.17032012119856,7.76439081730988,8.49960245634651,28.144493379678,27.3904598026477,28.8536009349774
"815","2020-07-02","Marin County",6041,20.5118431650061,19.5652187431781,21.3552779629503,8.45783065929043,8.03851379529214,8.7921985090161,28.7453639547914,27.9855187844617,29.4649999646353
"816","2020-07-03","Marin County",6041,21.5560070144456,20.5997830500446,22.4041725551004,8.84212370045558,8.41523957471594,9.17854409908041,29.3748208765987,28.6138139175705,30.1046897726486
"817","2020-07-04","Marin County",6041,22.8677303559261,21.9183767394378,23.7094885967479,9.34712340183591,8.92333102107984,9.68996088390239,30.0422741334851,29.2844898494755,30.7815183414036
"818","2020-07-05","Marin County",6041,24.4623159353794,23.5321484420914,25.2865097377236,9.98832237672185,9.57668819085648,10.3434071188023,30.7583278711289,30.0036705320151,31.5029251513189
"819","2020-07-06","Marin County",6041,26.3077358434479,25.3728797403531,27.1099828954456,10.7710631620166,10.3625162478517,11.1347744193505,31.5339912321918,30.7821337262658,32.2862016187644
"820","2020-07-07","Marin County",6041,28.2328933338115,27.3401787107256,28.9979449069901,11.6627755473025,11.2647309086934,12.0334134708404,32.3778004749049,31.6248201917651,33.1320037406642
"821","2020-07-08","Marin County",6041,30.0936248533089,29.2826104815333,30.8290403246092,12.5998429199451,12.2076196383272,12.966712735113,33.2934706395339,32.534074478793,34.0511236898091
"822","2020-07-09","Marin County",6041,31.8018099784493,31.0266627559778,32.5761394994192,13.5213312164137,13.0895519124867,13.9040239176721,34.2800972770374,33.5141641589402,35.042621901168
"823","2020-07-10","Marin County",6041,33.3087620039398,32.5312582146473,34.1362449748559,14.3813464882413,13.9131878269863,14.7879704817885,35.3332882559273,34.5608512784868,36.0994906646307
"824","2020-07-11","Marin County",6041,34.5927233539274,33.7592106401265,35.4652457359197,15.1502754670901,14.6656883919829,15.5865551068887,36.4463870586866,35.667634280085,37.2080058491892
"825","2020-07-12","Marin County",6041,35.64976315478,34.7376404613691,36.5486821834445,15.8121584190771,15.3116294921014,16.2769624475329,37.6114977371646,36.8267597400477,38.3700758494428
"826","2020-07-13","Marin County",6041,36.4872974963431,35.5076755461115,37.3992284488123,16.3612283980404,15.848402367309,16.8555844055764,38.8202501544473,38.0299810606212,39.5834890005953
"827","2020-07-14","Marin County",6041,37.1195564575983,36.1331311415925,38.0253076141796,16.7987590126843,16.2701061128101,17.311569633065,40.0643294732163,39.2762684220194,40.8323596003229
"828","2020-07-15","Marin County",6041,37.5644652774134,36.577153533133,38.4581805450457,17.1305502537576,16.5730289527106,17.6639052901559,41.3358180695268,40.5565827644861,42.1084181958886
"829","2020-07-16","Marin County",6041,37.8415389766407,36.8580080378147,38.7149082696834,17.3650591532593,16.8048713163178,17.9137289927511,42.6273981962839,41.8572860103809,43.4050117962086
"830","2020-07-17","Marin County",6041,37.9704962135802,37.0088316921408,38.8221825234317,17.5120736781641,16.9530604913252,18.0806243142188,43.9324559083287,43.1715318980668,44.7163014256897
"831","2020-07-18","Marin County",6041,37.970379141296,37.0297691641778,38.8263531655272,17.5818082928426,17.027812402695,18.1532631844369,45.2451175784749,44.4932471112606,46.0346637963667
